DOCUMENT ID,RECORD TYPE,BOROUGH,BLOCK,LOT,EASEMENT,PARTIAL LOT,AIR RIGHTS,SUBTERRANEAN RIGHTS,PROPERTY TYPE,STREET NUMBER,STREET NAME,UNIT,GOOD THROUGH DATE
2014020700140003,L,3,4101,31,N,E,N,N,D2,26,LOGAN STREET,,02/28/2014
2014020701276002,L,4,15699,57,N,E,N,N,D1,14-38,DUNBAR STREET,,02/28/2014
2014021101285004,L,3,1869,7,N,E,N,N,AP,29,BROOKLYN AVENUE,,02/28/2014
2014021400575005,L,3,5168,7,N,E,N,N,AP,2401,CORTELYOU ROAD,25,02/28/2014
2014021101247002,L,3,4635,40,N,E,N,N,D2,757,LENOX ROAD,,02/28/2014
2014012800617001,L,1,1708,10,N,E,N,N,AP,417,EAST 114 STREET,,02/28/2014
2014012800617001,L,1,1708,11,N,E,N,N,AP,419,EAST 114 STREET,,02/28/2014
2014012901304001,L,4,12968,116,N,E,N,N,CR,229-19,MERRICK BOULEVARD,,02/28/2014
2014012701373001,L,3,8083,25,N,E,N,N,D2,1442,EAST 87TH   STREET,,02/28/2014
2014010901316010,L,2,2689,1,N,E,N,N,CR,848,WESTCHESTER AVENUE,,02/28/2014
2014010901316010,L,2,2689,47,N,E,N,N,CR,867,LONGWOOD AVE,,02/28/2014
2013122300444003,L,1,1333,42,N,E,N,N,AP,304,EAST 41ST   STREET,,02/28/2014
2013122700940004,L,2,4166,7,N,E,N,N,RP,2945,MIDDLETOWN ROAD,,02/28/2014
2014012801010002,L,3,987,1,N,E,N,N,AP,363,4 AVENUE,,02/28/2014
2014012200556002,L,1,1524,7,N,E,N,N,D2,117,EAST 95TH   STREET,,02/28/2014
2013102300907004,L,3,397,37,N,E,N,N,F4,202,HOYT STREET,,02/28/2014
2014022400741001,L,3,1048,40,N,E,N,N,D4,548,6 AVENUE,,02/28/2014
2014022601088003,L,2,3925,6,N,E,N,N,CR,1830,EAST TREMONT AVENUE,,02/28/2014
2014022000038004,L,2,2532,26,N,E,N,N,AP,190,WEST 170 STREET,,02/28/2014
2014022100436004,L,1,1665,48,N,E,N,N,AP,200,EAST 116TH ST,,02/28/2014
2014021400504003,L,1,593,22,N,E,N,N,CR,399,SIXTH AVENUE,,02/28/2014
2014022600939003,L,4,6025,9,N,E,N,N,F1,198-18,32 ROAD,,02/28/2014
2014022100220008,L,1,490,27,N,E,N,N,CR,140,AVENUE OF THE AMER,,02/28/2014
2014022100220005,L,1,490,35,N,E,N,N,CR,124,AVENUE OF THE AMER,,02/28/2014
2014020701032004,L,3,8839,140,N,E,N,N,CR,2801,KNAPP STREET,,02/28/2014
2014021001299003,L,1,2122,1004,N,E,N,N,SC,540,WEST 163 STREET,2B,02/28/2014
2014021001299003,L,1,2122,1005,N,E,N,N,SC,540,WEST 163 STREET,3A,02/28/2014
2014021001299003,L,1,2122,1009,N,E,N,N,SC,540,WEST 163 STREET,5A,02/28/2014
2014021001299003,L,1,2122,1012,N,E,N,N,SC,540,WEST 163 STREET,6B,02/28/2014
2014022101088002,L,3,3378,26,N,E,N,N,D6,1428,PUTNAM AVENUE,6,02/28/2014
2014021200516004,L,1,144,1,N,E,N,N,CR,16,HUDSON STREET,,02/28/2014
2014021801148003,L,1,1860,61,N,E,N,N,CR,933,AMSTERDAM AVENUE,,02/28/2014
2014022000710003,L,1,1436,13,N,E,N,N,RS,321,EAST 61ST   STREET,,02/28/2014
2014022101180007,L,3,237,54,N,E,N,N,AP,25,MONROE PLACE,,02/28/2014
2014021900251002,L,3,2335,25,N,E,N,N,F1,210,BEDFORD AVENUE,,02/28/2014
2014020400698006,L,3,5241,13,N,E,N,N,D1,1191,OCEAN AVENUE,,02/28/2014
2014020400698003,L,3,5241,13,N,E,N,N,D1,1191,OCEAN AVENUE,,02/28/2014
2014011400099007,L,4,4531,447,N,E,N,N,CR,153-01,10TH   AVENUE,,02/28/2014
2014021700563004,L,3,3196,19,N,E,N,N,D2,26,STARR STREET,,02/28/2014
2014021800971003,L,3,1185,52,N,E,N,N,AP,1035,UNION STREET,,02/28/2014
2014022100038005,L,1,1931,36,N,E,N,N,OF,2108,ADAM C POWELL BLVD,,02/28/2014
2014021800953003,L,4,6090,25,N,E,N,N,CR,205-01,35TH   AVENUE,,02/28/2014
2014021400753003,L,4,2438,20,N,E,N,N,CR,50-21,69TH   STREET,,02/28/2014
2013120201337001,L,1,1412,1002,N,E,N,N,SP,177,EAST 77TH STREET,7BC,02/28/2014
2014021201214006,L,3,870,27,N,E,N,N,AP,462,PROSPECT AVENUE,,02/28/2014
2014021300378003,L,1,1888,1129,N,E,N,N,SC,817,WEST END AVENUE,5B,02/28/2014
2014021200159003,L,4,674,24,N,E,N,N,AP,34-22,42ND   STREET,,02/28/2014
2013092401019001,L,4,1227,1,N,E,N,N,SP,39-76,57TH   STREET,5D,02/28/2014
2014020300473003,L,1,759,68,N,E,N,N,AP,348,WEST 36TH   STREET,,02/28/2014
2014021200609003,L,3,6579,72,N,E,N,N,D3,1351,WEST 6TH   STREET,,02/28/2014
2014020400722003,L,4,1099,60,N,E,N,N,CR,87-16,ASTORIA BOULEVARD,,02/28/2014
2014021200619001,L,1,1154,1102,N,E,N,N,CC,211,WEST 61ST   STREET,1,02/28/2014
2014021200619001,L,1,1154,1103,N,E,N,N,CC,211,WEST 61ST   STREET,2,02/28/2014
2014020700090002,L,1,1861,5,N,E,N,N,AP,159,WEST 106 STREET,,02/28/2014
2014021100912003,L,4,1758,14,N,E,N,N,CR,96-09,ROOSEVELT AVENUE,,02/28/2014
2014012600035003,L,1,876,1,N,E,N,N,CR,251,PARK AVENUE SOUTH,,02/28/2014
2014011700319004,L,1,511,6,N,E,N,N,OF,580,BROADWAY,,02/28/2014
2014010701050009,L,1,1277,1006,N,E,N,N,CR,509,5 AVENUE,OFF6,02/28/2014
2014012900186002,L,1,772,83,N,E,N,N,CR,250,8 AVENUE,,02/28/2014
2013071700518003,L,2,3643,1026,N,E,N,N,SC,1867,LAFAYETTE AVENUE,9B,02/28/2014
2014012800709004,L,2,3308,51,N,E,N,N,AP,253,EAST 202 STREET,,02/28/2014
2014011401298001,L,1,690,29,N,E,N,N,CR,131,TENTH AVENUE,,02/28/2014
2014021101318004,L,4,5969,31,N,E,N,N,D1,200-19,28TH AVENUE,,02/28/2014
2014020700737005,L,4,7880,103,N,E,N,N,D2,82-86,COUNTRY POINTE CIRCLE,,02/28/2014
2014021100324003,L,3,1042,29,N,E,N,N,D1,298,14TH STREET,,02/28/2014
2014021101088002,L,1,1115,1817,N,E,N,N,SC,30,WEST 63RD   STREET,14K,02/28/2014
2014021100297006,L,1,1386,1011,N,E,N,N,SC,50,EAST 72ND   STREET,3D,02/28/2014
2014021400610001,L,4,2817,22,N,E,N,N,D1,57-32,79TH   STREET,,02/28/2014
2014011401286001,L,4,2079,1,N,E,N,N,OF,95-25,QUEENS BOULEVARD,,02/28/2014
2014021400607008,L,3,3037,26,N,E,N,N,D6,268,STAGG STREET,,02/28/2014
2014021400607008,L,3,3208,7,N,E,N,N,D6,147,CENTRAL AVENUE,,02/28/2014
2013123100157002,L,2,5052,11,N,E,N,N,RP,4316,WICKHAM,,02/28/2014
2014021800152002,L,4,9105,44,N,E,N,N,D1,101-55,98TH   STREET,,02/28/2014
2014020300991003,L,1,1132,1048,N,E,N,N,SC,161,WEST 61ST   STREET,9A,02/28/2014
2014021001349002,L,1,717,9,N,E,N,N,AP,453,WEST 19TH   STREET,,02/28/2014
2014020300141002,L,3,8663,359,N,E,N,N,D1,49,BRIGHTON 3 COURT,,02/28/2014
2014021300857002,L,3,5328,1026,N,E,N,N,SC,150,OCEAN PARKWAY,6C,02/28/2014
2014012400271001,L,3,8626,43,N,E,N,N,D1,55,BARLOW DRIVE NORTH,,02/28/2014
2014011301632017,L,3,1896,21,N,E,N,N,AP,159,CLASSON AVENUE,,02/28/2014
2014011301632014,L,3,1896,28,N,E,N,N,AP,145,CLASSON AVENUE,,02/28/2014
2014022400236003,L,3,5416,1,N,E,N,N,D6,119,WEBSTER AVE,,02/28/2014
2014022100626003,L,3,1966,33,N,E,N,N,CR,N/A,GREENE AVENUE,,02/28/2014
2014022000071002,L,3,1437,15,N,E,N,N,CR,2416,ATLANTIC AVENUE,,02/28/2014
2014022000778003,L,2,3838,159,N,E,N,N,CR,1170,COMMERCE AVENUE,,02/28/2014
2014022001462007,L,3,1878,22,N,E,N,N,CR,11,GRAND AVENUE,,02/28/2014
2014021000578002,L,3,7296,64,N,E,N,N,D6,1961,EAST 17TH STREET,,02/28/2014
2014021900703006,L,3,5127,5,N,E,N,N,AP,2306,ALBEMARLE ROAD,,02/28/2014
2014021900703006,L,3,5127,5,N,E,N,N,AP,2,OAKLAND PLACE,,02/28/2014
2014021900703006,L,3,5127,5,N,E,N,N,AP,12,OAKLAND PLACE,,02/28/2014
2014021100460002,L,3,642,40,N,E,N,N,F1,704,4 AVENUE,,02/28/2014
2014021100460002,L,3,1006,65,N,E,N,N,D2,397,9 STREET,,02/28/2014
2014021900309003,L,3,2463,30,N,E,N,N,CR,385,BROADWAY,,02/28/2014
2014021201042003,L,3,1735,5,N,E,N,N,CR,520,PARK AVENUE,,02/28/2014
2014021800222004,L,4,3608,22,N,E,N,N,CR,62-65,FRESH POND ROAD,,02/28/2014
2014021800521003,L,3,847,6,N,E,N,N,F4,5707,4 AVENUE,,02/28/2014
2014021200425004,L,3,2593,18,N,E,N,N,AP,108,CALYER STREET,,02/28/2014
2014021200943003,L,3,3106,28,N,E,N,N,VN,103,VARET STREET,,02/28/2014
2014021300146006,L,3,1354,30,N,E,N,N,CR,1552,BERGEN STREET,,02/28/2014
2014022001261002,L,4,8847,357,N,E,N,N,AP,86-02,FOREST PARKWAY,,02/28/2014
2014013100880002,L,3,417,21,N,E,N,N,OT,210,DOUGLASS STREET,,02/28/2014
2014010900665003,L,3,2504,66,N,E,N,N,D6,113,FREEMAN STREET,,02/28/2014
2014022000878003,L,2,3284,40,N,E,N,N,AP,355,OLIVER PLACE,,02/28/2014
2014022000334002,L,3,7325,54,N,E,N,N,RP,2531,OCEAN AVENUE,,02/28/2014
2014021900547006,L,1,1077,9,N,E,N,N,CR,N/A,WEST 48TH   STREET,,02/28/2014
2014021900547006,L,1,1077,55,N,E,N,N,AP,540,WEST 49TH   STREET,,02/28/2014
2014021000122006,L,4,3347,24,N,E,N,N,CR,118-02,QUEENS BOULEVARD,,02/28/2014
2014012100675004,L,1,2180,497,N,E,N,N,AP,195,BENNETT AVENUE,,02/28/2014
2014020600919004,L,1,1185,47,N,E,N,N,AP,42,RIVERSIDE DRIVE,,02/28/2014
2014021000472003,L,3,646,40,N,E,N,N,AP,708,5 AVENUE,,02/28/2014
2014020500363004,L,3,2356,1,N,E,N,N,VN,38,NORTH 3RD ST,,02/28/2014
2014021800271003,L,2,3075,29,N,E,N,N,CR,655,EAST 187TH STREET,,02/28/2014
2014021400977002,L,1,744,3,N,E,N,N,AP,360,WEST 21ST STREET,,02/28/2014
2014021400704002,L,2,3212,82,N,E,N,N,AP,2395,GRAND AVENUE,,02/28/2014
2013121700896005,L,2,3273,312,N,E,N,N,D5,2534,BATHGATE AVENUE,,02/28/2014
2014021400785002,L,1,1392,40,N,E,N,N,CR,876,PARK AVENUE,,02/28/2014
2014021200944004,L,3,590,1,N,E,N,N,CR,41,OTSEGO STREET,,02/28/2014
2014021200944004,L,3,600,19,N,E,N,N,VN,N/A,OTSEGO STREET,,02/28/2014
2014013101089001,L,1,841,58,N,E,N,N,CR,14,WEST 40TH   STREET,,02/28/2014
2014011301382001,L,4,1933,1001,N,E,N,N,SC,102-18,RADCLIFF AVENUE,1F,02/28/2014
2014011301382001,L,4,1933,1005,N,E,N,N,SC,102-18,RADCLIFF AVENUE,3R,02/28/2014
2014011301382001,L,4,1933,1007,N,E,N,N,SC,102-18,RADCLIFF AVENUE,4R,02/28/2014
2014011400410002,L,3,1167,1034,N,E,N,N,SC,475,STERLING PLACE,4F,02/28/2014
2013022100514003,L,1,1945,1130,N,E,N,N,D1,309,WEST 118 STREET,1FTPL,02/28/2014
2014013101002001,L,1,1378,21,N,E,N,N,CR,711,MADISON AVENUE,,02/28/2014
2014020400736001,L,1,1326,19,N,E,N,N,AP,247,EAST 52ND   STREET,,02/28/2014
2014022601293001,L,4,910,13,N,E,N,N,AP,26-19,3 STREET,,02/28/2014
2014022601283001,L,4,716,13,N,E,N,N,D6,25-79,45TH   STREET,,02/28/2014
2013072201177002,L,1,1833,4033,N,E,N,N,SC,400,CENTRAL PARK WEST,2R,02/28/2014
2014021300638001,L,4,12523,70,N,E,N,N,D2,174-53,128TH   AVENUE,,02/28/2014
2014021200125002,L,3,5662,1002,N,E,N,N,CR,5220,13TH   AVENUE,2,02/28/2014
2014021200125001,L,3,5662,1002,N,E,N,N,CR,5220,13TH   AVENUE,2,02/28/2014
2014022501074001,L,3,236,112,N,E,N,N,AP,70,CLARK STREET,62,02/28/2014
2014012900719002,L,3,5382,1301,N,E,N,N,SC,1640,40TH   STREET,1,02/28/2014
2014022601125001,L,4,13468,9,N,E,N,N,D1,220-03,146TH   AVENUE,,02/28/2014
2014022500850001,L,3,5868,60,N,E,N,N,AP,6925,SHORE ROAD,,02/28/2014
