DOCUMENT ID,RECORD TYPE,REFERENCE BY CRFN ,REFERENCE BY DOC ID,REFERENCE BY REEL YEAR,REFERENCE BY REEL BOROUGH,REFERENCE BY REEL NBR,REFERENCE BY REEL PAGE,GOOD THROUGH DATE
2014012801074005,X,2012000474488,,0,0,0,0,02/28/2014
2013112700900001,X,2006000112248,,0,0,0,0,02/28/2014
2014012401261002,X,,2014012401261001,0,0,0,0,02/28/2014
2013081501085005,X,,2013081501085003,0,0,0,0,02/28/2014
2014022000085001,X,2006000160840,,0,0,0,0,02/28/2014
2014022000096001,X,2008000084035,,0,0,0,0,02/28/2014
2014020700436001,X,2008000137984,,0,0,0,0,02/28/2014
2014021100596002,X,2003000535868,,0,0,0,0,02/28/2014
2014012901183002,X,,2014012901183001,0,0,0,0,02/28/2014
2014011100088001,X,,,1973,4,676,1156,02/28/2014
2013122600231001,X,,,2001,3,5123,1000,02/28/2014
2014020300353001,X,2009000024555,,0,0,0,0,02/28/2014
2014011400172002,X,2006000107418,,0,0,0,0,02/28/2014
2013091200187001,X,2013000131993,,0,0,0,0,02/28/2014
2014013100507001,X,,2009112300794002,0,0,0,0,02/28/2014
2014012900223001,X,2008000256129,,0,0,0,0,02/28/2014
2013121600109001,X,,,2002,1,3527,1744,02/28/2014
2014011701182001,X,,2004052700687001,0,0,0,0,02/28/2014
2013121001269001,X,2006000586682,,0,0,0,0,02/28/2014
2014020700081001,X,2010000207109,,0,0,0,0,02/28/2014
2014020601543001,X,2007000623279,,0,0,0,0,02/28/2014
2014020500389001,X,2006000376322,,0,0,0,0,02/28/2014
2014013100939005,X,,2003020501190002,0,0,0,0,02/28/2014
2014012700379004,X,2010000231171,,0,0,0,0,02/28/2014
2014012100628001,X,2003000284916,,0,0,0,0,02/28/2014
2014012800406001,X,2007000539432,,0,0,0,0,02/28/2014
2014013100939002,X,2010000179376,,0,0,0,0,02/28/2014
2014012200589001,X,2004000243055,,0,0,0,0,02/28/2014
2014011400172003,X,2006000107418,,0,0,0,0,02/28/2014
2014020300627001,X,2004000678512,,0,0,0,0,02/28/2014
2014012800147001,X,2005000617319,,0,0,0,0,02/28/2014
2014020601604001,X,,,2000,3,5038,67,02/28/2014
2014013101127001,X,,,1998,1,2760,439,02/28/2014
2014020300627002,X,2004000678512,,0,0,0,0,02/28/2014
2014012800142001,X,2010000004487,,0,0,0,0,02/28/2014
2014013000808001,X,,,2002,4,6655,62,02/28/2014
2014020601298001,X,,,1999,3,4652,455,02/28/2014
2014020400505001,X,2010000378550,,0,0,0,0,02/28/2014
2014020700107001,X,,,1990,4,3093,1173,02/28/2014
2014020600820001,X,2010000091256,,0,0,0,0,02/28/2014
2014010900755001,X,2010000279303,,0,0,0,0,02/28/2014
2014010701237004,X,2005000662785,,0,0,0,0,02/28/2014
2014010701237001,X,2005000662785,,0,0,0,0,02/28/2014
