DOCUMENT ID,RECORD TYPE,REMARK LINE NBR,REMARK TEXT LINE,GOOD THROUGH DATE
FT_3690009032969,R,2,"â€ŒINDEXED INCORRECTLY ON BBL3-8285-7501, 3-8286-7501AND 3-8287-7501 UPDATED 10/18/2013 GK",10/31/2020
FT_3240009033124,R,2,"â€ŒINDEXED INCORRECTLY ON BBL3-8285-7501, 3-8286-7501AND 3-8287-7501 UPDATED 10/18/2013 GK",10/31/2020
FT_3230009033123,R,2,"â€ŒINDEXED INCORRECTLY ON BBL3-8285-7501, 3-8286-7501AND 3-8287-7501 UPDATED 10/18/2013 GK",10/31/2020
FT_3370009033137,R,2,"â€ŒINDEXED INCORRECTLY ON BBL3-8285-7501, 3-8286-7501AND 3-8287-7501 UPDATED 10/18/2013 GK",10/31/2020
FT_3990009032999,R,2,"â€ŒINDEXED INCORRECTLY ON BBL3-8285-7501, 3-8286-7501, 3-8287-7501 3-8272-7501, 3-8291,-7501, 3-8249-7501 UPDATED 10/18/2013 GK TORRENS",10/31/2020
2014013100501001,R,1,Last Will & Testament,02/28/2014
2013111300882002,R,1,See Attached  Bankruptcy Court Order in leu of Affidavit First Sale since Bankruptcy,02/28/2014
2013111100896004,R,1,CORRECTED FROM BLOCK 4198 LOT 19 TO BLOCK 4198 LOT 119. UPDATED 2/28/14 TM,02/28/2014
2013111100896003,R,1,CORRECTED FROM BLOCK 4198 LOT 19 TO BLOCK 4198 LOT 119. UPDATED 2/28/14 TM,02/28/2014
2013123100510001,R,1,affidavit fir real property,02/28/2014
2013110601493001,R,1,NAME INCORRECTLY INDEXED ON COVER PAGE. CORRECTION COMPLETED. JNG 02/28/2014,02/28/2014
2009121700643002,R,1,NAME CORRECTION FROM HOI SHAN CONNIE CHUNG TO HOI SHAN CONNIE CHING (IM) 2/24/2014,02/28/2014
2003071801122004,R,1,CORRECTED TO ADD BBL 3-8720-1666. UPDATED 2/4/14 TM,02/28/2014
2009121700643001,R,1,NAME CORRECTION FROM HOI SHAN CONNIE CHUNG TO HOI SHAN CONNIE CHING. (IM) 2/24/2014,02/28/2014
2013102300907004,R,1,"MORTGAGE CONSOLIDATION, MODIFICATION AND EXTENSION AGREEMENT",02/28/2014
2013071900952003,R,1,CORRECTED TO ADD LOT 4. UPDATED 2/12/14 TM,02/28/2014
