RECORD TYPE,PROPERTY TYPE,DESCRIPTION
G,F,4-6 FAMILY WITH STORE / OFFICE
G,D,DWELLING ONLY - 1 FAMILY
G,D,DWELLING ONLY - 2 FAMILY
G,D,DWELLING ONLY - 3 FAMILY
G,D,DWELLING ONLY - 4 FAMILY
G,D,DWELLING ONLY - 5 FAMILY
G,D,DWELLING ONLY - 6 FAMILY
G,S,SINGLE RESIDENTIAL CONDO UNIT
G,M,MULTIPLE RESIDENTIAL CONDO UNT
G,S,SINGLE RESIDENTIAL COOP UNIT
G,M,MULTIPLE RESIDENTIAL COOP UNIT
G,C,COMMERCIAL CONDO UNIT(S)
G,A,APARTMENT BUILDING
G,O,OFFICE BUILDING
G,I,INDUSTRIAL BUILDING
G,R,RETAIL BUILDING
G,V,VACANT LAND
G,M,MULTIPLE PROPERTIES
G,O,OTHER
G,P,PRE-ACRIS
G,M,MAIDS ROOM
G,S,STORAGE ROOM
G,P,PARKING SPACE
G,B,BULK SALE OF CONDOMINIUMS
G,R,RELIGIOUS STRUCTURE
G,C,CONDO UNIT WITHOUT KITCHEN
G,R,REAL ESTATE INVESTMENT TRUST
G,R,"REAL EST INV TR 1,2,3 FAMILY"
G,R,REAL EST INV TR 4-6 FAMILY AND COMM.
G,R,1- 2 FAM WITH ATTCH GAR &/OR VACANT LAND
G,G,"GARAGE, 1 OR 2 FAMILY ONLY"
G,N,NOT APPLICABLE
G,E,ENTERTAINMENT/AMUSEMENT
G,U,UTILITY
G,V,RESIDENTIAL VACANT LAND
G,V,NON-RESIDENTIAL VACANT LAND
G,C,COMMERCIAL COOP UNIT(S)
G,C,COMMERCIAL REAL ESTATE
G,T,TIMESHARE
